"Date","Symbol","Security Name","Client Name","Buy / Sell","Quantity Traded ","Trade Price / Wght. Avg. Price","Remarks"
"03-Jan-2013","ALPSINDUS","Alps Industries Ltd.","SUNSTAR SHARE BROKERS PRIVATE LTD","SELL","2,00,000","2.00","-"
"03-Jan-2013","AUTOIND","Autoline Industries Limit","BHAVANI PORTFOLIO PRIVATE LTD","SELL","81,500","140.50","-"
"03-Jan-2013","RIIL","Reliance Indl Infra Ltd","AXIS EQUITIES PRIVATE LIMITED","BUY","1,17,724","487.37","-"
"03-Jan-2013","RIIL","Reliance Indl Infra Ltd","AXIS EQUITIES PRIVATE LIMITED","SELL","1,17,724","487.68","-"
"03-Jan-2013","RIIL","Reliance Indl Infra Ltd","CROSSEAS CAPITAL SERVICES PVT. LTD.","BUY","1,63,512","487.02","-"
"03-Jan-2013","RIIL","Reliance Indl Infra Ltd","CROSSEAS CAPITAL SERVICES PVT. LTD.","SELL","1,63,512","488.36","-"
"03-Jan-2013","RIIL","Reliance Indl Infra Ltd","SHREE NAMAN SECURITIES &amp; FINANCE PVT. LTD","BUY","1,22,302","489.74","-"
"03-Jan-2013","RIIL","Reliance Indl Infra Ltd","SHREE NAMAN SECURITIES &amp; FINANCE PVT. LTD","SELL","1,18,741","490.24","-"
"04-Jan-2013","ALOKTEXT","Alok Industries Limited","CALEDONIA INVESTMENTS PLC","SELL","55,26,927","11.88","-"
"04-Jan-2013","ALOKTEXT","Alok Industries Limited","TRANSGLOBAL SECURITIES LTD.","BUY","51,42,484","11.92","-"
"04-Jan-2013","ALOKTEXT","Alok Industries Limited","TRANSGLOBAL SECURITIES LTD.","SELL","51,42,484","11.93","-"
"04-Jan-2013","BSLIMITED","BS LIMITED","REEMA AGRAWAL","BUY","1,50,000","235.89","-"
"04-Jan-2013","CINEMAXIN","Cinemax India Limited","NINA SUNIL DALAL","BUY","1,58,000","198.40","-"
"04-Jan-2013","DALMIASUG","Dalmia Bharat Sug In Ltd","AVIS TIE UP PVT. LTD.","SELL","30,54,000","19.10","-"
"04-Jan-2013","DALMIASUG","Dalmia Bharat Sug In Ltd","DALMIA BHARAT LIMITED","BUY","30,55,045","19.10","-"
"04-Jan-2013","DECCANCE","Deccan Cements Ltd","JAIN ASHOK JASRAJ","BUY","92,079","220.00","-"
"04-Jan-2013","DECCANCE","Deccan Cements Ltd","PASHA FINANCE PVT  LTD","BUY","39,150","220.00","-"
"04-Jan-2013","DECCANCE","Deccan Cements Ltd","PRASHANT JAYANTILAL PATEL","SELL","3,15,518","220.88","-"
"04-Jan-2013","GSFC","Gujarat State Fert Ltd.","HDFC TRUSTEE CO. LTD. A/C. HDFC PRUDENCE FUND","BUY","24,29,998","68.50","-"
"04-Jan-2013","IFCI","IFCI Ltd.","ADROIT SHARE &amp; STOCK BROKER PVT. LTD.","BUY","96,37,426","36.46","-"
